rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.6725019977518121,0.7059284948010016,2.078326907995647,0.8626584873734545
8,0.6604483154054837,0.6236795959488536,0.7327317928620377,1.8199948777566883,0.8580875764620983
23,0.7074245793012701,0.6837470285543921,0.7146212998827552,2.046199476612561,0.8707679544429074
42,0.6958019319699476,0.6848213080318906,0.7228535060530878,1.962824479383845,0.8588158741995546
69,0.7178504490075761,0.6973205617750303,0.7670133056166348,1.4935289616797895,0.8784093286908555
88,0.644724475938339,0.6324339989507717,0.6518974440516202,2.5304356458485606,0.8381230408982647
