rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7565844055709641,0.7807592112218656,0.7854580513526351,1.9210501080582711,"(array([0.8907253071955854], dtype=object), 5.847672818973443e-136)"
8,0.7374056252318701,0.745618640142028,0.7865426073973796,1.8654410779823367,"(array([0.8872738726600542], dtype=object), 1.1933986355995799e-117)"
23,0.7243311139675348,0.7501619423219068,0.7957104081073427,1.8984693386080096,"(array([0.8953469690845703], dtype=object), 3.3499826684095774e-135)"
42,0.7781766119392269,0.7775802166740757,0.8032492576805048,1.7332222365649796,"(array([0.8973829378733766], dtype=object), 4.027265688315593e-127)"
69,0.7372057251872419,0.735031255202062,0.7898077339892249,1.8825613255854985,"(array([0.8891777765140443], dtype=object), 1.7358169297782665e-117)"
88,0.6939407704821365,0.701421611044006,0.7560289429853139,2.293109497153967,"(array([0.8695972900971575], dtype=object), 4.625265346052856e-116)"
