rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.6715801582346255,0.7030862732746233,2.098414081939139,0.8701060256298514
8,0.6604483154054837,0.6246624773746018,0.7109158494472416,1.9685531581954208,0.844211696110457
23,0.7074245793012701,0.6851076330090744,0.741540397012943,1.853186324488583,0.8801814503471911
42,0.6958019319699476,0.6844792326940393,0.7493340832117327,1.7752820561152427,0.8679973821813757
69,0.7178504490075761,0.6986056802928932,0.7779669676492442,1.4233120270799295,0.8846625098990685
88,0.644724475938339,0.6333058118644473,0.6750692823072927,2.3619943503164307,0.8417490131910538
