rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.6927164177618034,0.598877193717642,2.4333092595845596,0.8618071405357022
8,0.6927164177618034,0.6145627714938273,2.3381567002013903,0.8609767871933053
23,0.8470547453060171,0.7726598014879855,1.275463042001547,0.923689139250438
42,0.8470547453060171,0.7701878325842456,1.2893317066650505,0.9257536779333427
69,0.5608559335659551,0.6780039135036479,1.7929397658148052,0.880375901254144
88,0.6927164177618034,0.6154937272953975,2.3325092941283727,0.861664359634923
