rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.7696015557711375,0.7912438003470146,1.2906580073253588,0.8913575964376247
8,0.7736942497208321,0.7645722294803674,1.5367592977244795,0.8802769898510612
23,0.7761875821781954,0.7704267366399624,1.3100440814989174,0.8791762725606477
42,0.8138434995826415,0.793587138021994,1.3907826145743873,0.8981926013304435
69,0.7962405462064756,0.801596476613362,1.2274312057393602,0.8992444211544565
88,0.7993264250835845,0.7902924339668478,1.2242875224423584,0.8889964531885544
