rs,mm_r2,mixed_set_r2,model_r2,model_standard_error,model_MSE,model_pearson
0,0.6844875508919923,0.6758129314918444,0.6528353045624158,0.0,3.055070789336325,0.8149577418309653
8,0.6763910064876586,0.6803473599219797,0.6159101473147706,0.0,2.7816789153992203,0.817280384672601
23,0.5692972153541123,0.547901100484107,0.5630161803485174,0.0,4.0008972598503405,0.7954180722981169
42,0.7435972629343248,0.7544590678726447,0.6920443972545952,0.0,2.1594452339829324,0.848478383519823
69,0.7859511399663385,0.7939250991085649,0.7014913795828992,0.0,2.3140949119676884,0.860933662382309
88,0.6982884074548628,0.6854696017786817,0.6237829650958646,0.0,3.0901435478555146,0.8086322585466137
