rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.6697326113900254,0.7105965988442013,2.0453354549960103,0.8633937125165735
8,0.6604483154054837,0.6219623209592171,0.7432140167868312,1.7486149180715653,0.8649763471633196
23,0.7074245793012701,0.6843341309144224,0.7220176678474274,1.9931666320031767,0.8794722774876177
42,0.6958019319699476,0.6846136713539365,0.7193619588297976,1.9875525366044122,0.8567980292516834
69,0.7178504490075761,0.6974796686633161,0.722013552593362,1.7819936509899372,0.8518483399087927
88,0.644724475938339,0.6328285400883383,0.6609593485881414,2.4645626269159147,0.8406802199447538
