rs,mm_r2,mixed_set_r2,model_r2,model_standard_error,model_MSE,model_pearson
0,0.7127853801718398,0.6730141268841622,0.7299434590993197,0.0013370867121586202,1.9086030632389968,0.8698185854730439
8,0.6604483154054837,0.6221916926316974,0.6943002623058415,0.003169023660207993,2.0816989895387588,0.8340901372655016
23,0.7074245793012701,0.6850058334619405,0.650385554261198,0.003459237793011491,2.5067774700530223,0.8393824640343911
42,0.6958019319699476,0.683974229983633,0.7352387256874428,0.003257583363714202,1.8751090912703157,0.8592873956004293
69,0.7178504490075761,0.6981650783873111,0.678125340098789,0.002322189825765654,2.063332963565211,0.8428888889677437
88,0.644724475938339,0.6328342554561196,0.6090485776606354,0.0003375074618887716,2.841913677385993,0.7942290358192954
