rs,mm_r2,mixed_set_r2,model_r2,model_standard_error,model_MSE,model_pearson
0,0.7127853801718398,0.6908997606298508,0.754322156627018,7.850462293418875e-17,1.7363085628948858,0.8734292686424336
8,0.6604483154054837,0.6613518332502457,0.6960232022983932,7.850462293418875e-17,2.0699664232350248,0.8352499200599302
23,0.7074245793012701,0.692849760140391,0.7559374315262888,0.0,1.7499578618392042,0.8708125128491419
42,0.6958019319699476,0.6899512119282935,0.7003973742296313,0.0,2.1218647206210086,0.8389801588644803
69,0.7178504490075761,0.7186763265539894,0.7120671398485743,0.0,1.8457537534218724,0.8588805017896846
88,0.644724475938339,0.6294981673900264,0.6451261957740833,0.0,2.579657370066268,0.8135728690427777
