rs,mm_r2,mixed_set_r2,model_r2,model_standard_error,model_MSE,model_pearson
0,0.7127853801718398,0.6908997606298508,0.7023784568615425,7.850462293418875e-17,2.103416517983498,0.8445589327335215
8,0.6604483154054837,0.6613518332502457,0.6825201358674814,0.0,2.1619171718909693,0.8288168796535664
23,0.7074245793012701,0.692849760140391,0.7028803179874235,0.0,2.130383723717461,0.8495542294621145
42,0.6958019319699476,0.6899512119282935,0.7068723517073552,7.850462293418875e-17,2.0760072244075807,0.8426696980281503
69,0.7178504490075761,0.7186763265539894,0.7134601620837112,0.0,1.8368239771616985,0.8569529515365629
88,0.644724475938339,0.6294981673900264,0.6777648583081715,0.0,2.342399603072664,0.8369035331477219
