rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.7744353301059577,0.7778637249854334,1.5699304061856698,"(array([0.8884462444059213], dtype=object), 0.0)"
8,0.6604483154054837,0.6773831627899828,0.7402612942937925,1.7687218356519028,"(array([0.8616487616223152], dtype=object), 0.0)"
23,0.7074245793012701,0.7672110779845073,0.7567071527519498,1.7444388684159464,"(array([0.8708827055847785], dtype=object), 0.0)"
42,0.6958019319699476,0.7051850348370775,0.744714180357502,1.808001425159097,"(array([0.8640136996070146], dtype=object), 0.0)"
69,0.7178504490075761,0.7141482023199957,0.7593273680692865,1.5427986006821726,"(array([0.8744722843321725], dtype=object), 0.0)"
88,0.644724475938339,0.7353807754008799,0.7143118974127426,2.0767309691596685,"(array([0.8453694715474817], dtype=object), 0.0)"
