rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.6908997606298508,0.678720661931928,2.270616096714489,0.8314572569434067
8,0.6604483154054837,0.6613518332502457,0.6705150457937612,2.243667271070929,0.8289813784284913
23,0.7074245793012701,0.692849760140391,0.7457730643721184,1.8228375923251048,0.8668193861964387
42,0.6958019319699476,0.6899512119282935,0.7305102826964798,1.9085971701554516,0.8553895998341421
69,0.7178504490075761,0.7186763265539894,0.7137617780726194,1.8348905096049681,0.8475418493598196
88,0.644724475938339,0.6294981673900264,0.6333504340295597,2.6652580264423182,0.8015677594440435
