rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.7544695277405719,0.7578874609999712,1.4986704522481356,0.8745104412123209
8,0.6552449783833365,0.6142941432289711,2.5280700568345926,0.7893792377866584
23,0.7715985291871013,0.7399170053971722,1.6366313471989942,0.8699098132911193
42,0.6909686954965097,0.7403689098213235,1.801579966762524,0.8716984522472625
69,0.7012694268684483,0.7123914218291776,1.982970675481963,0.8500245300798749
88,0.6608797110071564,0.652923699192234,2.498523661227774,0.834517049926658
