rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.7379710018057534,0.691930835894383,2.1772542458718016,"(array([0.8324641609594645], dtype=object), 0.0)"
8,0.6604483154054837,0.6439916491207507,0.7121142824974069,1.960392284756743,"(array([0.8490780177677874], dtype=object), 0.0)"
23,0.7074245793012701,0.7207629028086497,0.7590448373908241,1.7276773894317594,"(array([0.8721321337310813], dtype=object), 0.0)"
42,0.6958019319699476,0.6947536980348729,0.7518111166222452,1.7577390529721582,"(array([0.8720128979796818], dtype=object), 0.0)"
69,0.7178504490075761,0.7214207466897444,0.7275244379209131,1.7466668832404837,"(array([0.8535858244798794], dtype=object), 0.0)"
88,0.644724475938339,0.6689667456396842,0.7044829521422771,2.148179779426861,"(array([0.8472009659058367], dtype=object), 0.0)"
