rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7544695277405719,0.7616304738115401,0.7707790077896037,1.4188721058378566,"(array([0.886293754669179], dtype=object), 0.0)"
8,0.6552449783833365,0.7065227997570622,0.7100525622251646,1.9004311773508191,"(array([0.8433284727522086], dtype=object), 0.0)"
23,0.7715985291871013,0.7856450129337452,0.7643458794831504,1.4829071055701089,"(array([0.8797185114436077], dtype=object), 0.0)"
42,0.6909686954965097,0.7142734808182112,0.7741611248778533,1.5670958083496083,"(array([0.8809303206572624], dtype=object), 0.0)"
69,0.7012694268684483,0.7640774929386187,0.7688030251032555,1.5940304159081369,"(array([0.8769275949696553], dtype=object), 0.0)"
88,0.6608797110071564,0.7197068284161686,0.7145285158606209,2.05504454227515,"(array([0.8515089479951004], dtype=object), 0.0)"
