rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.6908997606298508,0.7205622848454984,1.974903764040045,0.8553230578612369
8,0.6604483154054837,0.6613518332502457,0.7008748531146562,2.036928525728177,0.8384337994202191
23,0.7074245793012701,0.692849760140391,0.7250934010232422,1.9711132565691771,0.856300011841266
42,0.6958019319699476,0.6899512119282935,0.7045100219623301,2.0927378659750686,0.8404121698305294
69,0.7178504490075761,0.7186763265539894,0.7147477406350713,1.8285701330441892,0.8511314933080484
88,0.644724475938339,0.6294981673900264,0.6407235876000926,2.6116609174915912,0.8322448540256645
