rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.6743324780708699,0.6865606638602315,2.2152075084008924,0.8467133581465816
8,0.6604483154054837,0.6219923196844952,0.6987088477699153,2.05167819863105,0.8366462043267887
23,0.7074245793012701,0.6840169201149187,0.6754474649103293,2.32708056754385,0.8596711212993859
42,0.6958019319699476,0.6843265871253252,0.6772045498771766,2.286122412416915,0.8317528875197251
69,0.7178504490075761,0.6976355820896892,0.7616500497586025,1.5279093711451033,0.8826596952696107
88,0.644724475938339,0.6329233753450001,0.6971238257904138,2.2016749213752584,0.8459178155255961
