rs,mm_r2,model_r2,model_standard_error,model_MSE,model_pearson
0,0.7485290221337233,0.7790268380285252,0.0010165972590736535,1.6775456878361905,0.887088316120281
8,0.6636433029335804,0.7156346875654902,0.0026660525256473637,2.2756731747464922,0.8481749261653576
23,0.8150682990711453,0.8191961440949957,0.0010138597004849732,1.4010495522198627,0.9062293099002815
42,0.7064842570698887,0.7462489024872246,0.002824357817579067,2.3494330056195323,0.8674398062321269
69,0.711120481160703,0.7435651941518749,0.0013895040369362277,2.450412789367492,0.8659678457557922
88,0.6874076508362387,0.7254936266488896,0.0018501937992588605,2.460417282869546,0.8624207517878164
