rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.6927164177618034,0.6339398777915631,2.220610423999272,0.8617926745294552
8,0.6927164177618034,0.6460497501845012,2.147148969889427,0.8615787652188337
23,0.8470547453060171,0.589111224378339,2.3052388055823685,0.9155105957264369
42,0.8470547453060171,0.6140898157818875,2.1650996204096247,0.9203691893867243
69,0.5608559335659551,0.6783083831152129,1.7912444170296788,0.8816433386489909
88,0.6927164177618034,0.6530578244083898,2.104636273942541,0.861409525927946
