rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7565844055709641,0.7854075733207918,0.7963508100809035,1.823514239367216,"(array([0.8931143170735983], dtype=object), 9.913537316261252e-138)"
8,0.7169695211762915,0.7257585539557951,0.7770597196859818,2.0041955674543472,"(array([0.8816931239666007], dtype=object), 1.156755627102367e-110)"
23,0.7527883517483183,0.7720607759386598,0.8013150498848972,1.813341294461603,"(array([0.8976766912232896], dtype=object), 2.219998931424806e-138)"
42,0.771404611219475,0.7850225677763303,0.8029115903234977,1.8053362971610014,"(array([0.8970021313605193], dtype=object), 8.679300360229684e-126)"
69,0.776280474620103,0.7928382902385818,0.815913759191492,1.5418757623355408,"(array([0.9038070049099937], dtype=object), 2.1592772513949695e-134)"
88,0.6894842555601277,0.7620010493593707,0.7566458739994706,2.2716297690101,"(array([0.8717263688843749], dtype=object), 6.929034879048769e-114)"
