rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.7696015557711375,0.7636760241931789,1.461098794694771,0.8755619591284105
8,0.7736942497208321,0.7503633280702469,1.629508174818536,0.8728905240919344
23,0.7761875821781954,0.7300918426643797,1.5402123874994698,0.8603638003525059
42,0.8138434995826415,0.777042415419287,1.5022587713327413,0.8887059338832533
69,0.7962405462064756,0.7662423375087687,1.4461509786965303,0.8840177126921673
88,0.7993264250835845,0.7706967336619724,1.3386885992875601,0.8826463580449289
