rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.7696015557711375,0.7821011972483707,1.3471831496525204,0.885649054665113
8,0.7736942497208321,0.7796476330803181,1.4383543109294252,0.88688637182565
23,0.7761875821781954,0.7699798618305941,1.3125941419485347,0.880581369371883
42,0.8138434995826415,0.7889337404245002,1.422136593271636,0.8945812988491029
69,0.7962405462064756,0.796044332386148,1.2617797645094972,0.8979997398687676
88,0.7993264250835845,0.7987365482343706,1.1749901893448425,0.8949232021669642
