rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.5898217008483722,0.6040602190823365,1.9957227330599046,0.8086843330964524
8,0.5898217008483722,0.5989694632627538,2.021382536917075,0.8066688484135123
23,0.5963266477917976,0.6465503572884125,1.9896996546886825,0.822077839142761
42,0.6695214226914044,0.5900487690866533,3.0539974443716216,0.8303194774465726
69,0.6695214226914044,0.5868952920849991,3.077489777063195,0.830332599581917
88,0.5963266477917976,0.6396541887091078,2.0285207555834255,0.8179020404660876
