rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.5898217008483722,0.6189575405953608,1.9206332254172576,0.8081421851822935
8,0.5898217008483722,0.6128598179961302,1.9513686154883758,0.8054570029303005
23,0.5963266477917976,0.6457018842713969,1.9944760252517342,0.8211776751282985
42,0.6695214226914044,0.5880646157324313,3.0687787130106616,0.8278138338520636
69,0.6695214226914044,0.5862151546392604,3.0825565700484963,0.8299208784590361
88,0.5963266477917976,0.6495273379009754,1.972941122266952,0.824188367699259
