rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.5898217008483722,0.6175891068435935,1.9275307751930313,0.7996901019233548
8,0.5898217008483722,0.6152796139102348,1.939171705887751,0.8001915078980315
23,0.5963266477917976,0.6406408073795233,2.0229667116953776,0.8190254733613126
42,0.6695214226914044,0.5868140194418896,3.078095230652884,0.8283010983852337
69,0.6695214226914044,0.590370183479427,3.051603016302877,0.8282266260752061
88,0.5963266477917976,0.6460055093909703,1.9927668063912043,0.8214060883120577
