rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.670942308321095,0.7131201253561044,2.027500632648366,0.8646388081195321
8,0.6604483154054837,0.6212239448860144,0.6604601985168445,2.3121369582685833,0.8231087328179644
23,0.7074245793012701,0.6837376938909915,0.7073870752371647,2.098069734194586,0.8522897258228305
42,0.6958019319699476,0.6847747056084466,0.6955827513909,2.1559631478905694,0.8340169381140851
69,0.7178504490075761,0.6979841700853716,0.7176834445883916,1.8097512091189152,0.8551631076215467
88,0.644724475938339,0.6328721223980714,0.6444706428511787,2.5844227314677046,0.8186324475737057
