rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.5898217008483722,0.6014757070948963,2.0087498891472415,0.8052921545772849
8,0.5898217008483722,0.6042346355680533,1.9948435919320322,0.8072467765705398
23,0.5963266477917976,0.6416638105055952,2.0172078461577723,0.819419350848758
42,0.6695214226914044,0.5874574053175728,3.0733022243830797,0.8270447676725624
69,0.6695214226914044,0.5888930102305064,3.062607455335897,0.8234830529422072
88,0.5963266477917976,0.6477820516807716,1.982765988301704,0.8217957640070629
