rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.7483278579376196,0.7737043472902257,1.5993264762966357,"(array([0.8800649618914339], dtype=object), 0.0)"
8,0.6604483154054837,0.6784819430190843,0.7346255739235377,1.8070989487255806,"(array([0.8592116645973606], dtype=object), 0.0)"
23,0.7074245793012701,0.7795623646689185,0.758392573839054,1.7323541972583318,"(array([0.8783000255287718], dtype=object), 0.0)"
42,0.6958019319699476,0.7049399150426144,0.7454090076074298,1.8030804755353846,"(array([0.8640473396446394], dtype=object), 0.0)"
69,0.7178504490075761,0.7321409926766694,0.71963007250685,1.7972726202384355,"(array([0.8556962847514403], dtype=object), 0.0)"
88,0.644724475938339,0.70230002097141,0.7202885095254544,2.033285633660153,"(array([0.8539373571664578], dtype=object), 0.0)"
