rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.7372062609891158,0.7680529742067993,1.6392671048130216,"(array([0.8769061578086074], dtype=object), 0.0)"
8,0.6604483154054837,0.6591985141998173,0.7365179318638682,1.7942127106085795,"(array([0.8582300588028059], dtype=object), 0.0)"
23,0.7074245793012701,0.7100653863473263,0.7646070433070143,1.687795706496614,"(array([0.8752957245521494], dtype=object), 0.0)"
42,0.6958019319699476,0.6968365364881437,0.7615473555866121,1.6887844437897277,"(array([0.8745160648822811], dtype=object), 0.0)"
69,0.7178504490075761,0.7251858539341896,0.6871213857897969,2.005665057611719,"(array([0.8312805555245045], dtype=object), 0.0)"
88,0.644724475938339,0.6749848724232217,0.6561702260771662,2.4993758338488288,"(array([0.8248736924994441], dtype=object), 0.0)"
