rs,mm_r2,mixed_set_r2,model_r2,model_standard_error,model_MSE,model_pearson
0,0.7127853801718398,0.6736346181265883,0.7677821000930664,0.0007576936872495586,1.6411814860070433,0.8860816964546302
8,0.6604483154054837,0.6211276148038575,0.7345876648238341,0.00037239967824721505,1.8073570952818796,0.8585423652714614
23,0.7074245793012701,0.6853663303047416,0.7068499424593357,0.001143746929229414,2.101921040575944,0.8503677119092727
42,0.6958019319699476,0.6844233065451717,0.7227478252354498,0.0020274004174419893,1.9635729387740652,0.8508708959440254
69,0.7178504490075761,0.6977298659517724,0.7457386871507645,0.0008368167045196411,1.6299069591940272,0.872536622887655
88,0.644724475938339,0.6319586653235401,0.6827310144221387,0.0014445833337191594,2.306299499126587,0.8444492212669485
