rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.6908997606298508,0.6952850535308646,2.1535485802567123,0.8428524554161729
8,0.6604483154054837,0.6613518332502457,0.6521007862823636,2.3690613774156706,0.8096974850102459
23,0.7074245793012701,0.692849760140391,0.7104384138311945,2.0761912708351753,0.8585849339910399
42,0.6958019319699476,0.6899512119282935,0.7024686626327403,2.1071953105065693,0.8386005709303693
69,0.7178504490075761,0.7186763265539894,0.701166415573693,1.9156313378517908,0.8479093567462065
88,0.644724475938339,0.6294981673900264,0.6664638053219355,2.4245494948885558,0.8219699276594001
