rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.6908997606298508,0.7114565443432416,2.0392578587703727,0.8474938850121098
8,0.6604483154054837,0.6613518332502457,0.640993141610974,2.4447002146060406,0.8118068270296981
23,0.7074245793012701,0.692849760140391,0.7114403441815684,2.069007310162234,0.8617769793603157
42,0.6958019319699476,0.6899512119282935,0.7193056818510277,1.987951104993217,0.8488856581382127
69,0.7178504490075761,0.7186763265539894,0.6842761241874147,2.023904213362481,0.8426273933334274
88,0.644724475938339,0.6294981673900264,0.6602069255490933,2.4700321589438476,0.828069666241657
