rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.5898217008483722,0.5984700848581002,2.023899638967939,0.8060274902608797
8,0.5898217008483722,0.6000473472265435,2.0159494947379075,0.806791402305455
23,0.5963266477917976,0.6458782948945353,1.9934829441631547,0.821236771180029
42,0.6695214226914044,0.5707771176505247,3.1975647026126333,0.8273511784827552
69,0.6695214226914044,0.5746994069929102,3.1683449790834626,0.8293116535702943
88,0.5963266477917976,0.6417871670323064,2.016513426334009,0.8192028994436806
