rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7544695277405719,0.774506711036273,0.777044564851836,1.3800884671431206,"(array([0.8824477309164618], dtype=object), 0.0)"
8,0.6552449783833365,0.6906320947147433,0.7384909089147178,1.7140349080962916,"(array([0.8619055659518955], dtype=object), 0.0)"
23,0.7715985291871013,0.7847515489594015,0.8055179081050559,1.2238227591548974,"(array([0.8979649219082398], dtype=object), 0.0)"
42,0.6909686954965097,0.732377648518512,0.7885920902532356,1.4669593489469979,"(array([0.88832565913593], dtype=object), 0.0)"
69,0.7012694268684483,0.7653497583276894,0.7783361639236267,1.528302422514049,"(array([0.8823481481530104], dtype=object), 0.0)"
88,0.6608797110071564,0.7410424372589294,0.7306021496583119,1.9393340939616976,"(array([0.859964290658539], dtype=object), 0.0)"
