rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.736694346109326,0.7542384616945342,1.7369000701547472,"(array([0.8769307677538755], dtype=object), 0.0)"
8,0.6604483154054837,0.6627541677267542,0.7351986886455841,1.8031962553612593,"(array([0.8583801536519506], dtype=object), 0.0)"
23,0.7074245793012701,0.7187688676518769,0.7498110931875246,1.7938844418438809,"(array([0.8719721289584336], dtype=object), 0.0)"
42,0.6958019319699476,0.6945243139580903,0.7180359902896012,1.9969433951086109,"(array([0.8492491459310535], dtype=object), 0.0)"
69,0.7178504490075761,0.7160216801166317,0.7450208792393961,1.6345083674735386,"(array([0.8635516353219314], dtype=object), 0.0)"
88,0.644724475938339,0.6583658015449347,0.7052451749259782,2.1426390108545066,"(array([0.8409759978867966], dtype=object), 0.0)"
