rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7215825346116345,0.7289306371730941,0.7451416079172222,2.0338425209730993,"(array([0.8653749951203522], dtype=object), 1.2756949315965109e-39)"
8,0.7449384024255301,0.7737527839159369,0.7562773844318551,1.99115275927052,"(array([0.8733083967967961], dtype=object), 6.492367866259612e-40)"
23,0.7450483417776362,0.7365920620400501,0.7529533076316403,2.2067221859108233,"(array([0.8756395127686122], dtype=object), 5.796397656714098e-42)"
42,0.7264330448766496,0.7452090717330466,0.7594011867477313,2.1351326333650347,"(array([0.8739217773116226], dtype=object), 1.6339153472149701e-37)"
69,0.7824961217085764,0.783750377585217,0.8101167845337738,1.7445231222805866,"(array([0.9052338846831313], dtype=object), 2.6335302272985422e-45)"
88,0.6232908428424917,0.6287080599096218,0.6741294295095306,2.784670650126076,"(array([0.8314207369568523], dtype=object), 6.754614884915108e-32)"
