rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.7696015557711375,0.7836291039540458,1.337736699547547,0.8866002093489823
8,0.7736942497208321,0.7727171068073178,1.483593454402812,0.8836730269631117
23,0.7761875821781954,0.7913334076437114,1.1907415973531352,0.8909515856094495
42,0.8138434995826415,0.7852922890857112,1.4466722116690294,0.8925616826936157
69,0.7962405462064756,0.7913839572808246,1.2906113585108665,0.8956404283634681
88,0.7993264250835845,0.7990727238255111,1.1730275725953925,0.8949509123600814
