rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.6927164177618034,0.5494277618014888,2.7332816338256603,0.8580736205088528
8,0.6927164177618034,0.5545477254893936,2.7022226791728903,0.8557216733425959
23,0.8470547453060171,0.5773112598537739,2.3714409939613716,0.9139714346429896
42,0.8470547453060171,0.5856048158121483,2.3249110613717368,0.9134775851059255
69,0.5608559335659551,0.6756670836153579,1.8059517103954026,0.880726415820078
88,0.6927164177618034,0.5349638895749067,2.8210230279004103,0.8553980542089784
