rs,mm_r2,model_r2,model_MSE,model_pearson
0,0.6927164177618034,0.5753685759342814,2.5759182971071457,0.8592584372275976
8,0.6927164177618034,0.5713598644800385,2.6002361233385107,0.860548617982031
23,0.8470547453060171,0.7726025977498445,1.275783976241689,0.9254265757563853
42,0.8470547453060171,0.7739187759539305,1.2683997271428171,0.923109435877508
69,0.5608559335659551,0.6688624724546602,1.8438411707105054,0.8790502290223227
88,0.6927164177618034,0.5814740670118292,2.5388808917524113,0.8601535542531771
