rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7127853801718398,0.6755657387630032,0.6598095729802612,2.404268709541263,0.8378463876695305
8,0.6604483154054837,0.6221773528078054,0.6144639058733087,2.6253542238142034,0.7845279228944487
23,0.7074245793012701,0.6829691181713512,0.5702624508025816,3.081269722958509,0.7870410871366214
42,0.6958019319699476,0.6849105041399184,0.6885821405217514,2.2055433182507165,0.8355816706100964
69,0.7178504490075761,0.6980993447016314,0.6932914204711919,1.9661129041481011,0.8536761505216546
88,0.644724475938339,0.6329256063257381,0.6470312311093336,2.565809240437386,0.8284863084755913
