rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7565844055709641,0.7633730576731673,0.7800533395904596,1.9694449426358984,"(array([0.8851908360292291], dtype=object), 5.195338274271509e-132)"
8,0.7169695211762915,0.7129599302484755,0.7596890770727748,2.1603547185964653,"(array([0.8736468485810276], dtype=object), 3.275254350997258e-106)"
23,0.7527883517483183,0.8004416867114634,0.8115787240417939,1.7196676459501428,"(array([0.9037595188997298], dtype=object), 3.25448557543496e-143)"
42,0.771404611219475,0.7870993857894997,0.8002546478700766,1.8296739771823793,"(array([0.896638735986474], dtype=object), 1.5525701098946981e-125)"
69,0.776280474620103,0.7890241532130269,0.8109514015435146,1.5834396453712962,"(array([0.900637127125416], dtype=object), 5.412550125951228e-132)"
88,0.6894842555601277,0.7828741606040539,0.7564083696313757,2.2738467932360757,"(array([0.8702376238054058], dtype=object), 4.826055740807431e-113)"
