rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7505008737854392,0.8153392784975888,0.808079197109582,1.7651155094301472,"(array([0.900257314750063], dtype=object), 2.499986568753387e-135)"
8,0.7166006282352986,0.7619631805776922,0.7501475715118635,1.935462676375593,"(array([0.869962397789319], dtype=object), 1.6739092353412458e-117)"
23,0.6721552520789962,0.7304438241706568,0.7142482917497391,2.7198382231586278,"(array([0.8595208946896326], dtype=object), 6.619020076675827e-117)"
42,0.7094261426903672,0.719306629000589,0.7544681508653193,2.220716441465867,"(array([0.8687296104685803], dtype=object), 7.3313509197238e-105)"
69,0.7767980347123623,0.7938939940893985,0.7993307802086991,1.739800222410201,"(array([0.8948043742045042], dtype=object), 1.2148107773140576e-131)"
88,0.7615135520170193,0.8203395730705042,0.805159050532078,1.817223341478066,"(array([0.8996579052469771], dtype=object), 8.601315909877567e-134)"
