rs,mm_r2,mixed_set_r2,model_r2,model_MSE,model_pearson
0,0.7565844055709641,0.7836931814840329,0.7754599159166238,2.010575346739218,"(array([0.8857840706291842], dtype=object), 2.0053380205139622e-132)"
8,0.7169695211762915,0.7294850878873387,0.7704543998198963,2.06357628043533,"(array([0.8778506576506295], dtype=object), 1.692484922094607e-108)"
23,0.7527883517483183,0.80485685947526,0.8067945552146116,1.7633314004971261,"(array([0.908175281119132], dtype=object), 6.263410715233307e-147)"
42,0.771404611219475,0.7916284791444921,0.7968837245801763,1.8605517450845668,"(array([0.8927542497605019], dtype=object), 6.814576767073504e-123)"
69,0.776280474620103,0.7849505557828242,0.8127061352561145,1.5687422873888208,"(array([0.9035730366535435], dtype=object), 3.2675281970955086e-134)"
88,0.6894842555601277,0.7789207397710458,0.7626891355463233,2.215217933889972,"(array([0.8750610682723909], dtype=object), 8.19814449683896e-116)"
